gemini-2.5-flash [RPM:5, TPM:250000, RPD:20]
gemini-3-flash-preview [RPM:5, TPM:250000, RPD:20]
gemini-3.5-flash [RPM:5, TPM:250000, RPD:20]
gemini-3.6-flash [RPM:5, TPM:250000, RPD:20]
gemini-flash-latest [RPM:5, TPM:250000, RPD:20]
gemini-2.5-flash-lite [RPM:10, TPM:250000, RPD:20]
gemini-3.1-flash-lite [RPM:15, TPM:250000, RPD:500]
gemini-3.5-flash-lite [RPM:15, TPM:250000, RPD:500]
gemini-flash-lite-latest [RPM:15, TPM:250000, RPD:500]
gemini-robotics-er-1.5-preview [RPM:10, TPM:250000, RPD:20]
gemini-robotics-er-1.6-preview [RPM:5, TPM:250000, RPD:20]
gemini-2.5-flash-preview-tts [RPM:3, TPM:10000, RPD:10]
gemini-3.1-flash-tts-preview [RPM:3, TPM:10000, RPD:10]
gemma-4-26b-a4b-it [RPM:15, TPM:2500000, RPD:1500]
gemma-4-31b-it [RPM:15, TPM:2500000, RPD:1500]
antigravity-preview-05-2026
